"theme_name","github_repository","github_direct_link","is_dark","screenshot","description"
"base16 Unikitty Light {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-unikitty-light.rstheme",FALSE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_unikitty_light.png","from the rsthemes package"
"base16 Woodland {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-woodland.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_woodland.png","from the rsthemes package"
"Behave","https://github.com/jealcalat/rstudio_themes","https://raw.githubusercontent.com/jealcalat/rstudio_themes/master/Behave.rstheme",TRUE,"","part of a collection of modified tmthemes"
"Bluebell / JTheme","https://github.com/conig/JTheme","https://raw.githubusercontent.com/conig/JTheme/master/inst/bluebell.rstheme",TRUE,"","part of the JTheme package"
"BreezeDark","https://github.com/nnamliehbes/Breeze-RStudio-Theme","https://raw.githubusercontent.com/nnamliehbes/Breeze-RStudio-Theme/master/BreezeDark.rstheme",TRUE,"https://raw.githubusercontent.com/nnamliehbes/Breeze-RStudio-Theme/master/Breeze_Dark.png","a theme matching the Breeze theme in KDE Plasma"
"BreezeDefault","https://github.com/nnamliehbes/Breeze-RStudio-Theme","https://raw.githubusercontent.com/nnamliehbes/Breeze-RStudio-Theme/master/BreezeDefault.rstheme",FALSE,"https://github.com/nnamliehbes/Breeze-RStudio-Theme/master/BreezeDefault.png","a theme matching the Breeze theme in KDE Plasma"
"BrendaTheme","https://github.com/brehmathey/rstheme","https://raw.githubusercontent.com/brehmathey/rstheme/main/BrendaTheme.rstheme",TRUE,"",""
"CobaltFlag","https://github.com/nchen4/RStudioTheme","https://raw.githubusercontent.com/nchen4/RStudioTheme/master/CobaltFlag.rstheme",TRUE,"",""
"colornew","https://github.com/jesusestevez/RStudio_Theme","https://raw.githubusercontent.com/jesusestevez/RStudio_Theme/main/colornew.rstheme",TRUE,"","based on the Monokai palette with comment colors like Stata"
"Custom","https://github.com/Wcarcamo/RStudioTheme","https://raw.githubusercontent.com/Wcarcamo/RStudioTheme/master/Custom.rstheme",TRUE,"",""
